season,band,predictor,cv_corr
MAM,National,nino34,-0.76
MAM,National,atl3,0.07
MAM,National,tna,-0.219
MAM,National,tsa,-0.06
MAM,National,atl_grad,-0.609
MAM,National,iod_dmi,-0.539
MAM,National,wvg2,-0.518
MAM,National,wvg3,-0.607
MAM,National,persistence,-0.18
MAM,National,sst_projection,-0.324
MAM,National,combo_top2,-0.063
MAM,South,nino34,-0.095
MAM,South,atl3,0.119
MAM,South,tna,-0.173
MAM,South,tsa,0.056
MAM,South,atl_grad,-0.387
MAM,South,iod_dmi,-0.625
MAM,South,wvg2,-0.274
MAM,South,wvg3,-0.211
MAM,South,persistence,-0.266
MAM,South,sst_projection,0.12
MAM,South,combo_top2,0.003
MAM,Middle,nino34,-0.077
MAM,Middle,atl3,-0.064
MAM,Middle,tna,-0.364
MAM,Middle,tsa,-0.347
MAM,Middle,atl_grad,-0.846
MAM,Middle,iod_dmi,-0.108
MAM,Middle,wvg2,-0.041
MAM,Middle,wvg3,-0.058
MAM,Middle,persistence,-0.577
MAM,Middle,sst_projection,-0.01
MAM,Middle,combo_top2,-0.403
MAM,North,nino34,0.155
MAM,North,atl3,-0.339
MAM,North,tna,-0.5
MAM,North,tsa,-0.652
MAM,North,atl_grad,-0.796
MAM,North,iod_dmi,-0.414
MAM,North,wvg2,0.192
MAM,North,wvg3,0.172
MAM,North,persistence,-0.072
MAM,North,sst_projection,0.096
MAM,North,combo_top2,0.141
AMJ,National,nino34,-0.559
AMJ,National,atl3,-0.525
AMJ,National,tna,-0.896
AMJ,National,tsa,-0.4
AMJ,National,atl_grad,-0.36
AMJ,National,iod_dmi,0.204
AMJ,National,wvg2,-0.582
AMJ,National,wvg3,-0.539
AMJ,National,persistence,-0.31
AMJ,National,sst_projection,-0.334
AMJ,National,combo_top2,-0.015
AMJ,South,nino34,0.196
AMJ,South,atl3,-0.095
AMJ,South,tna,-0.462
AMJ,South,tsa,0.032
AMJ,South,atl_grad,-0.27
AMJ,South,iod_dmi,0.168
AMJ,South,wvg2,0.153
AMJ,South,wvg3,0.168
AMJ,South,persistence,-0.31
AMJ,South,sst_projection,0.19
AMJ,South,combo_top2,0.007
AMJ,Middle,nino34,-0.53
AMJ,Middle,atl3,-0.769
AMJ,Middle,tna,-0.811
AMJ,Middle,tsa,-0.76
AMJ,Middle,atl_grad,-0.749
AMJ,Middle,iod_dmi,0.193
AMJ,Middle,wvg2,-0.776
AMJ,Middle,wvg3,-0.738
AMJ,Middle,persistence,-0.723
AMJ,Middle,sst_projection,-0.202
AMJ,Middle,combo_top2,-0.104
AMJ,North,nino34,0.119
AMJ,North,atl3,-0.64
AMJ,North,tna,-0.017
AMJ,North,tsa,-0.566
AMJ,North,atl_grad,-0.165
AMJ,North,iod_dmi,-0.131
AMJ,North,wvg2,0.081
