season,band,predictor,cv_corr
MAM,National,nino34,-0.231
MAM,National,atl3,-0.536
MAM,National,tna,-0.557
MAM,National,tsa,-0.316
MAM,National,atl_grad,-0.557
MAM,National,iod_dmi,-0.001
MAM,National,wvg2,-0.197
MAM,National,wvg3,-0.177
MAM,National,persistence,-0.536
MAM,National,sst_projection,0.092
MAM,National,combo_top2,-0.235
MAM,South,nino34,-0.302
MAM,South,atl3,-0.492
MAM,South,tna,-0.713
MAM,South,tsa,-0.516
MAM,South,atl_grad,-0.651
MAM,South,iod_dmi,-0.041
MAM,South,wvg2,-0.283
MAM,South,wvg3,-0.25
MAM,South,persistence,-0.381
MAM,South,sst_projection,0.054
MAM,South,combo_top2,-0.276
MAM,Central,nino34,-0.134
MAM,Central,atl3,-0.478
MAM,Central,tna,-0.429
MAM,Central,tsa,-0.103
MAM,Central,atl_grad,-0.432
MAM,Central,iod_dmi,-0.011
MAM,Central,wvg2,-0.127
MAM,Central,wvg3,-0.108
MAM,Central,persistence,-0.405
MAM,Central,sst_projection,0.092
MAM,Central,combo_top2,-0.279
MAM,North,nino34,-0.601
MAM,North,atl3,-0.815
MAM,North,tna,-0.655
MAM,North,tsa,-0.494
MAM,North,atl_grad,-0.748
MAM,North,iod_dmi,-0.136
MAM,North,wvg2,-0.426
MAM,North,wvg3,-0.442
MAM,North,persistence,-0.395
MAM,North,sst_projection,-0.042
MAM,North,combo_top2,-0.445
AMJ,National,nino34,-0.109
AMJ,National,atl3,-0.764
AMJ,National,tna,-0.489
AMJ,National,tsa,-0.532
AMJ,National,atl_grad,-0.739
AMJ,National,iod_dmi,-0.216
AMJ,National,wvg2,-0.054
AMJ,National,wvg3,-0.032
AMJ,National,persistence,0.185
AMJ,National,sst_projection,0.115
AMJ,National,combo_top2,0.03
AMJ,South,nino34,-0.006
AMJ,South,atl3,-0.603
AMJ,South,tna,-0.823
AMJ,South,tsa,-0.731
AMJ,South,atl_grad,-0.747
AMJ,South,iod_dmi,-0.381
AMJ,South,wvg2,0.038
AMJ,South,wvg3,0.063
AMJ,South,persistence,-0.014
AMJ,South,sst_projection,0.161
AMJ,South,combo_top2,-0.05
AMJ,Central,nino34,-0.135
AMJ,Central,atl3,-0.739
AMJ,Central,tna,-0.246
AMJ,Central,tsa,-0.297
AMJ,Central,atl_grad,-0.75
AMJ,Central,iod_dmi,-0.318
AMJ,Central,wvg2,-0.082
AMJ,Central,wvg3,-0.057
AMJ,Central,persistence,0.158
AMJ,Central,sst_projection,0.073
AMJ,Central,combo_top2,-0.09
AMJ,North,nino34,-0.703
AMJ,North,atl3,-0.792
AMJ,North,tna,-0.302
AMJ,North,tsa,-0.38
AMJ,North,atl_grad,-0.772
AMJ,North,iod_dmi,-0.148
AMJ,North,wvg2,-0.602
AMJ,North,wvg3,-0.597
AMJ,North,persistence,0.01
AMJ,North,sst_projection,-0.184
AMJ,North,combo_top2,-0.237
JJA,National,nino34,-0.089
JJA,National,atl3,-0.174
JJA,National,tna,-0.161
JJA,National,tsa,-0.002
JJA,National,atl_grad,-0.845
JJA,National,iod_dmi,-0.33
JJA,National,wvg2,0.014
JJA,National,wvg3,-0.006
JJA,National,persistence,-0.604
JJA,National,sst_projection,0.036
JJA,National,combo_top2,-0.2
JJA,South,nino34,-0.898
JJA,South,atl3,-0.57
JJA,South,tna,-0.77
JJA,South,tsa,-0.278
JJA,South,atl_grad,-0.297
JJA,South,iod_dmi,-0.108
JJA,South,wvg2,-0.867
JJA,South,wvg3,-0.879
JJA,South,persistence,-0.674
JJA,South,sst_projection,-0.595
JJA,South,combo_top2,-0.331
JJA,Central,nino34,-0.411
JJA,Central,atl3,-0.392
JJA,Central,tna,-0.205
JJA,Central,tsa,-0.209
JJA,Central,atl_grad,-0.802
JJA,Central,iod_dmi,-0.561
JJA,Central,wvg2,-0.292
JJA,Central,wvg3,-0.315
JJA,Central,persistence,-0.445
JJA,Central,sst_projection,-0.254
JJA,Central,combo_top2,-0.565
JJA,North,nino34,0.077
JJA,North,atl3,-0.04
JJA,North,tna,0.031
JJA,North,tsa,0.046
JJA,North,atl_grad,-0.654
JJA,North,iod_dmi,-0.651
JJA,North,wvg2,0.19
JJA,North,wvg3,0.172
JJA,North,persistence,-0.624
JJA,North,sst_projection,0.314
JJA,North,combo_top2,0.153
JAS,National,nino34,0.322
JAS,National,atl3,0.006
JAS,National,tna,0.049
JAS,National,tsa,0.126
JAS,National,atl_grad,-0.703
JAS,National,iod_dmi,-0.403
JAS,National,wvg2,0.394
JAS,National,wvg3,0.397
JAS,National,persistence,-0.805
JAS,National,sst_projection,0.307
JAS,National,combo_top2,0.346
JAS,South,nino34,0.058
JAS,South,atl3,-0.801
JAS,South,tna,-0.097
JAS,South,tsa,-0.334
JAS,South,atl_grad,-0.412
JAS,South,iod_dmi,-0.162
JAS,South,wvg2,0.134
JAS,South,wvg3,0.133
JAS,South,persistence,-0.782
JAS,South,sst_projection,0.102
JAS,South,combo_top2,0.061
JAS,Central,nino34,-0.031
JAS,Central,atl3,-0.212
JAS,Central,tna,0.114
JAS,Central,tsa,-0.011
JAS,Central,atl_grad,-0.39
JAS,Central,iod_dmi,-0.158
JAS,Central,wvg2,0.09
JAS,Central,wvg3,0.089
JAS,Central,persistence,-0.319
JAS,Central,sst_projection,0.068
JAS,Central,combo_top2,-0.164
JAS,North,nino34,0.406
JAS,North,atl3,0.168
JAS,North,tna,-0.09
JAS,North,tsa,0.209
JAS,North,atl_grad,-0.719
JAS,North,iod_dmi,-0.753
JAS,North,wvg2,0.453
JAS,North,wvg3,0.457
JAS,North,persistence,-0.812
JAS,North,sst_projection,0.393
JAS,North,combo_top2,0.398
JJAS,National,nino34,-0.099
JJAS,National,atl3,-0.051
JJAS,National,tna,0.02
JJAS,National,tsa,0.102
JJAS,National,atl_grad,-0.805
JJAS,National,iod_dmi,-0.274
JJAS,National,wvg2,0.076
JJAS,National,wvg3,0.06
JJAS,National,persistence,-0.588
JJAS,National,sst_projection,0.102
JJAS,National,combo_top2,-0.112
JJAS,South,nino34,-0.425
JJAS,South,atl3,-0.517
JJAS,South,tna,-0.389
JJAS,South,tsa,-0.244
JJAS,South,atl_grad,-0.758
JJAS,South,iod_dmi,-0.196
JJAS,South,wvg2,-0.267
JJAS,South,wvg3,-0.299
JJAS,South,persistence,-0.812
JJAS,South,sst_projection,-0.356
JJAS,South,combo_top2,-0.43
JJAS,Central,nino34,-0.467
JJAS,Central,atl3,-0.175
JJAS,Central,tna,0.074
JJAS,Central,tsa,-0.004
JJAS,Central,atl_grad,-0.512
JJAS,Central,iod_dmi,-0.287
JJAS,Central,wvg2,-0.17
JJAS,Central,wvg3,-0.18
JJAS,Central,persistence,-0.325
JJAS,Central,sst_projection,-0.157
JJAS,Central,combo_top2,-0.096
JJAS,North,nino34,-0.033
JJAS,North,atl3,0.075
JJAS,North,tna,-0.002
JJAS,North,tsa,0.146
JJAS,North,atl_grad,-0.852
JJAS,North,iod_dmi,-0.544
JJAS,North,wvg2,0.133
JJAS,North,wvg3,0.113
JJAS,North,persistence,-0.817
JJAS,North,sst_projection,0.288
JJAS,North,combo_top2,-0.144
ASO,National,nino34,-0.47
ASO,National,atl3,-0.347
ASO,National,tna,-0.199
ASO,National,tsa,-0.731
ASO,National,atl_grad,-0.272
ASO,National,iod_dmi,0.095
ASO,National,wvg2,-0.706
ASO,National,wvg3,-0.733
ASO,National,persistence,-0.585
ASO,National,sst_projection,-0.023
ASO,National,combo_top2,-0.196
ASO,South,nino34,0.172
ASO,South,atl3,-0.041
ASO,South,tna,-0.214
ASO,South,tsa,-0.492
ASO,South,atl_grad,-0.113
ASO,South,iod_dmi,0.291
ASO,South,wvg2,-0.063
ASO,South,wvg3,-0.061
ASO,South,persistence,-0.656
ASO,South,sst_projection,0.133
ASO,South,combo_top2,0.207
ASO,Central,nino34,-0.343
ASO,Central,atl3,-0.297
ASO,Central,tna,-0.288
ASO,Central,tsa,-0.701
ASO,Central,atl_grad,-0.27
ASO,Central,iod_dmi,0.038
ASO,Central,wvg2,-0.539
ASO,Central,wvg3,-0.587
ASO,Central,persistence,-0.691
ASO,Central,sst_projection,-0.104
ASO,Central,combo_top2,-0.331
ASO,North,nino34,0.105
ASO,North,atl3,-0.317
ASO,North,tna,-0.441
ASO,North,tsa,-0.219
ASO,North,atl_grad,-0.771
ASO,North,iod_dmi,-0.731
ASO,North,wvg2,0.099
ASO,North,wvg3,0.122
ASO,North,persistence,-0.083
ASO,North,sst_projection,-0.028
ASO,North,combo_top2,0.041
SON,National,nino34,0.281
SON,National,atl3,-0.044
SON,National,tna,-0.183
SON,National,tsa,-0.412
SON,National,atl_grad,0.037
SON,National,iod_dmi,0.391
SON,National,wvg2,0.159
SON,National,wvg3,0.131
SON,National,persistence,-0.894
SON,National,sst_projection,0.31
SON,National,combo_top2,0.289
SON,South,nino34,0.459
SON,South,atl3,0.1
SON,South,tna,-0.105
SON,South,tsa,-0.221
SON,South,atl_grad,0.171
SON,South,iod_dmi,0.45
SON,South,wvg2,0.338
SON,South,wvg3,0.317
SON,South,persistence,-0.35
SON,South,sst_projection,0.398
SON,South,combo_top2,0.427
SON,Central,nino34,0.12
SON,Central,atl3,-0.101
SON,Central,tna,-0.157
SON,Central,tsa,-0.55
SON,Central,atl_grad,-0.001
SON,Central,iod_dmi,0.27
SON,Central,wvg2,-0.04
SON,Central,wvg3,-0.066
SON,Central,persistence,-0.409
SON,Central,sst_projection,0.229
SON,Central,combo_top2,0.049
SON,North,nino34,-0.66
SON,North,atl3,-0.727
SON,North,tna,-0.671
SON,North,tsa,-0.65
SON,North,atl_grad,-0.753
SON,North,iod_dmi,0.067
SON,North,wvg2,-0.624
SON,North,wvg3,-0.69
SON,North,persistence,-0.242
SON,North,sst_projection,-0.012
SON,North,combo_top2,-0.111
OND,National,nino34,0.456
OND,National,atl3,-0.049
OND,National,tna,-0.524
OND,National,tsa,-0.291
OND,National,atl_grad,-0.084
OND,National,iod_dmi,0.48
OND,National,wvg2,0.41
OND,National,wvg3,0.393
OND,National,persistence,-0.086
OND,National,sst_projection,0.466
OND,National,combo_top2,0.386
OND,South,nino34,0.551
OND,South,atl3,-0.003
OND,South,tna,-0.357
OND,South,tsa,-0.232
OND,South,atl_grad,0.04
OND,South,iod_dmi,0.561
OND,South,wvg2,0.487
OND,South,wvg3,0.473
OND,South,persistence,-0.818
OND,South,sst_projection,0.526
OND,South,combo_top2,0.564
OND,Central,nino34,0.302
OND,Central,atl3,-0.102
OND,Central,tna,-0.59
OND,Central,tsa,-0.466
OND,Central,atl_grad,-0.214
OND,Central,iod_dmi,0.328
OND,Central,wvg2,0.256
OND,Central,wvg3,0.244
OND,Central,persistence,-0.319
OND,Central,sst_projection,0.357
OND,Central,combo_top2,0.182
OND,North,nino34,0.044
OND,North,atl3,-0.489
OND,North,tna,-0.377
OND,North,tsa,-0.488
OND,North,atl_grad,-0.702
OND,North,iod_dmi,0.14
OND,North,wvg2,0.099
OND,North,wvg3,0.069
OND,North,persistence,-0.352
OND,North,sst_projection,0.226
OND,North,combo_top2,-0.008
