season,band,predictor,cv_corr
MAM,National,nino34,-0.236
MAM,National,atl3,-0.318
MAM,National,tna,-0.316
MAM,National,tsa,-0.492
MAM,National,atl_grad,-0.819
MAM,National,iod_dmi,-0.027
MAM,National,wvg2,-0.36
MAM,National,wvg3,-0.292
MAM,National,persistence,-0.853
MAM,National,sst_projection,0.004
MAM,National,combo_top2,-0.436
MAM,South,nino34,-0.588
MAM,South,atl3,-0.158
MAM,South,tna,-0.327
MAM,South,tsa,-0.443
MAM,South,atl_grad,-0.788
MAM,South,iod_dmi,-0.029
MAM,South,wvg2,-0.83
MAM,South,wvg3,-0.739
MAM,South,persistence,-0.81
MAM,South,sst_projection,-0.244
MAM,South,combo_top2,-0.17
MAM,Central,nino34,-0.159
MAM,Central,atl3,-0.395
MAM,Central,tna,-0.287
MAM,Central,tsa,-0.474
MAM,Central,atl_grad,-0.813
MAM,Central,iod_dmi,-0.035
MAM,Central,wvg2,-0.244
MAM,Central,wvg3,-0.199
MAM,Central,persistence,-0.894
MAM,Central,sst_projection,0.041
MAM,Central,combo_top2,-0.303
MAM,North,nino34,-0.174
MAM,North,atl3,-0.545
MAM,North,tna,-0.465
MAM,North,tsa,-0.68
MAM,North,atl_grad,-0.778
MAM,North,iod_dmi,-0.134
MAM,North,wvg2,-0.255
MAM,North,wvg3,-0.199
MAM,North,persistence,-0.363
MAM,North,sst_projection,0.083
MAM,North,combo_top2,-0.387
AMJ,National,nino34,0.198
AMJ,National,atl3,-0.728
AMJ,National,tna,-0.25
AMJ,National,tsa,-0.636
AMJ,National,atl_grad,-0.165
AMJ,National,iod_dmi,-0.783
AMJ,National,wvg2,0.148
AMJ,National,wvg3,0.173
AMJ,National,persistence,0.018
AMJ,National,sst_projection,0.208
AMJ,National,combo_top2,0.094
AMJ,South,nino34,0.215
AMJ,South,atl3,-0.722
AMJ,South,tna,-0.248
AMJ,South,tsa,-0.647
AMJ,South,atl_grad,-0.168
AMJ,South,iod_dmi,-0.663
AMJ,South,wvg2,0.146
AMJ,South,wvg3,0.158
AMJ,South,persistence,-0.567
AMJ,South,sst_projection,0.168
AMJ,South,combo_top2,0.088
AMJ,Central,nino34,0.126
AMJ,Central,atl3,-0.708
AMJ,Central,tna,-0.314
AMJ,Central,tsa,-0.691
AMJ,Central,atl_grad,-0.269
AMJ,Central,iod_dmi,-0.673
AMJ,Central,wvg2,0.086
AMJ,Central,wvg3,0.111
AMJ,Central,persistence,0.18
AMJ,Central,sst_projection,0.148
AMJ,Central,combo_top2,0.082
AMJ,North,nino34,0.11
AMJ,North,atl3,-0.6
AMJ,North,tna,-0.335
AMJ,North,tsa,-0.628
AMJ,North,atl_grad,-0.174
AMJ,North,iod_dmi,-0.832
AMJ,North,wvg2,0.066
AMJ,North,wvg3,0.101
AMJ,North,persistence,-0.09
AMJ,North,sst_projection,0.208
AMJ,North,combo_top2,-0.073
JJA,National,nino34,-0.821
JJA,National,atl3,-0.804
JJA,National,tna,-0.887
JJA,National,tsa,-0.638
JJA,National,atl_grad,-0.715
JJA,National,iod_dmi,0.14
JJA,National,wvg2,-0.867
JJA,National,wvg3,-0.845
JJA,National,persistence,-0.102
JJA,National,sst_projection,-0.699
JJA,National,combo_top2,0.114
JJA,South,nino34,-0.713
JJA,South,atl3,-0.203
JJA,South,tna,-0.045
JJA,South,tsa,0.052
JJA,South,atl_grad,-0.677
JJA,South,iod_dmi,0.163
JJA,South,wvg2,-0.366
JJA,South,wvg3,-0.425
JJA,South,persistence,-0.055
JJA,South,sst_projection,-0.217
JJA,South,combo_top2,0.121
JJA,Central,nino34,-0.518
JJA,Central,atl3,-0.378
JJA,Central,tna,-0.542
JJA,Central,tsa,-0.224
JJA,Central,atl_grad,-0.632
JJA,Central,iod_dmi,0.025
JJA,Central,wvg2,-0.454
JJA,Central,wvg3,-0.445
JJA,Central,persistence,-0.202
JJA,Central,sst_projection,-0.437
JJA,Central,combo_top2,-0.133
JJA,North,nino34,-0.817
JJA,North,atl3,-0.843
JJA,North,tna,-0.874
JJA,North,tsa,-0.575
JJA,North,atl_grad,-0.618
JJA,North,iod_dmi,0.023
JJA,North,wvg2,-0.82
JJA,North,wvg3,-0.808
JJA,North,persistence,-0.809
JJA,North,sst_projection,-0.566
JJA,North,combo_top2,-0.118
JAS,National,nino34,0.103
JAS,National,atl3,-0.111
JAS,National,tna,-0.099
JAS,National,tsa,0.006
JAS,National,atl_grad,-0.83
JAS,National,iod_dmi,0.101
JAS,National,wvg2,0.216
JAS,National,wvg3,0.225
JAS,National,persistence,-0.574
JAS,National,sst_projection,0.257
JAS,National,combo_top2,0.158
JAS,South,nino34,-0.441
JAS,South,atl3,0.095
JAS,South,tna,-0.589
JAS,South,tsa,-0.091
JAS,South,atl_grad,-0.131
JAS,South,iod_dmi,0.244
JAS,South,wvg2,-0.251
JAS,South,wvg3,-0.28
JAS,South,persistence,-0.199
JAS,South,sst_projection,0.116
JAS,South,combo_top2,0.289
JAS,Central,nino34,0.259
JAS,Central,atl3,-0.09
JAS,Central,tna,0.088
JAS,Central,tsa,0.1
JAS,Central,atl_grad,-0.488
JAS,Central,iod_dmi,-0.127
JAS,Central,wvg2,0.354
JAS,Central,wvg3,0.368
JAS,Central,persistence,-0.288
JAS,Central,sst_projection,0.353
JAS,Central,combo_top2,0.346
JAS,North,nino34,-0.196
JAS,North,atl3,-0.803
JAS,North,tna,-0.375
JAS,North,tsa,-0.43
JAS,North,atl_grad,-0.809
JAS,North,iod_dmi,0.137
JAS,North,wvg2,-0.028
JAS,North,wvg3,-0.014
JAS,North,persistence,-0.646
JAS,North,sst_projection,0.048
JAS,North,combo_top2,0.249
JJAS,National,nino34,-0.382
JJAS,National,atl3,-0.396
JJAS,National,tna,-0.271
JJAS,National,tsa,-0.244
JJAS,National,atl_grad,-0.832
JJAS,National,iod_dmi,0.098
JJAS,National,wvg2,-0.224
JJAS,National,wvg3,-0.213
JJAS,National,persistence,-0.371
JJAS,National,sst_projection,-0.13
JJAS,National,combo_top2,-0.098
JJAS,South,nino34,-0.797
JJAS,South,atl3,-0.637
JJAS,South,tna,-0.451
JJAS,South,tsa,-0.275
JJAS,South,atl_grad,-0.647
JJAS,South,iod_dmi,0.156
JJAS,South,wvg2,-0.902
JJAS,South,wvg3,-0.866
JJAS,South,persistence,0.065
JJAS,South,sst_projection,-0.507
JJAS,South,combo_top2,-0.035
JJAS,Central,nino34,-0.198
JJAS,Central,atl3,-0.127
JJAS,Central,tna,-0.071
JJAS,Central,tsa,0.037
JJAS,Central,atl_grad,-0.819
JJAS,Central,iod_dmi,-0.009
JJAS,Central,wvg2,-0.052
JJAS,Central,wvg3,-0.052
JJAS,Central,persistence,-0.597
JJAS,Central,sst_projection,-0.046
JJAS,Central,combo_top2,-0.203
JJAS,North,nino34,-0.723
JJAS,North,atl3,-0.756
JJAS,North,tna,-0.454
JJAS,North,tsa,-0.367
JJAS,North,atl_grad,-0.831
JJAS,North,iod_dmi,0.021
JJAS,North,wvg2,-0.489
JJAS,North,wvg3,-0.491
JJAS,North,persistence,-0.51
JJAS,North,sst_projection,-0.236
JJAS,North,combo_top2,-0.161
ASO,National,nino34,0.14
ASO,National,atl3,-0.256
ASO,National,tna,-0.299
ASO,National,tsa,-0.702
ASO,National,atl_grad,-0.365
ASO,National,iod_dmi,0.336
ASO,National,wvg2,-0.061
ASO,National,wvg3,-0.1
ASO,National,persistence,-0.465
ASO,National,sst_projection,0.042
ASO,National,combo_top2,0.338
ASO,South,nino34,0.2
ASO,South,atl3,-0.476
ASO,South,tna,-0.252
ASO,South,tsa,-0.676
ASO,South,atl_grad,-0.42
ASO,South,iod_dmi,0.166
ASO,South,wvg2,0.085
ASO,South,wvg3,0.047
ASO,South,persistence,-0.072
ASO,South,sst_projection,-0.001
ASO,South,combo_top2,0.196
ASO,Central,nino34,-0.108
ASO,Central,atl3,-0.245
ASO,Central,tna,-0.063
ASO,Central,tsa,-0.699
ASO,Central,atl_grad,-0.197
ASO,Central,iod_dmi,0.332
ASO,Central,wvg2,-0.42
ASO,Central,wvg3,-0.487
ASO,Central,persistence,-0.427
ASO,Central,sst_projection,-0.033
ASO,Central,combo_top2,0.072
ASO,North,nino34,0.221
ASO,North,atl3,-0.183
ASO,North,tna,-0.121
ASO,North,tsa,-0.619
ASO,North,atl_grad,-0.122
ASO,North,iod_dmi,0.369
ASO,North,wvg2,0.023
ASO,North,wvg3,0.0
ASO,North,persistence,-0.399
ASO,North,sst_projection,0.177
ASO,North,combo_top2,0.398
SON,National,nino34,0.394
SON,National,atl3,-0.01
SON,National,tna,-0.189
SON,National,tsa,-0.395
SON,National,atl_grad,0.027
SON,National,iod_dmi,0.432
SON,National,wvg2,0.29
SON,National,wvg3,0.265
SON,National,persistence,-0.069
SON,National,sst_projection,0.314
SON,National,combo_top2,0.45
SON,South,nino34,0.392
SON,South,atl3,-0.009
SON,South,tna,-0.392
SON,South,tsa,-0.495
SON,South,atl_grad,-0.139
SON,South,iod_dmi,0.39
SON,South,wvg2,0.279
SON,South,wvg3,0.266
SON,South,persistence,0.058
SON,South,sst_projection,0.312
SON,South,combo_top2,0.422
SON,Central,nino34,0.364
SON,Central,atl3,-0.048
SON,Central,tna,-0.189
SON,Central,tsa,-0.36
SON,Central,atl_grad,0.043
SON,Central,iod_dmi,0.404
SON,Central,wvg2,0.265
SON,Central,wvg3,0.24
SON,Central,persistence,-0.21
SON,Central,sst_projection,0.266
SON,Central,combo_top2,0.418
SON,North,nino34,0.387
SON,North,atl3,0.003
SON,North,tna,-0.053
SON,North,tsa,-0.379
SON,North,atl_grad,0.116
SON,North,iod_dmi,0.454
SON,North,wvg2,0.291
SON,North,wvg3,0.256
SON,North,persistence,-0.164
SON,North,sst_projection,0.332
SON,North,combo_top2,0.463
OND,National,nino34,0.502
OND,National,atl3,-0.059
OND,National,tna,-0.613
OND,National,tsa,-0.329
OND,National,atl_grad,-0.243
OND,National,iod_dmi,0.545
OND,National,wvg2,0.464
OND,National,wvg3,0.445
OND,National,persistence,-0.546
OND,National,sst_projection,0.455
OND,National,combo_top2,0.522
OND,South,nino34,0.484
OND,South,atl3,-0.012
OND,South,tna,-0.584
OND,South,tsa,-0.361
OND,South,atl_grad,-0.446
OND,South,iod_dmi,0.505
OND,South,wvg2,0.438
OND,South,wvg3,0.424
OND,South,persistence,0.103
OND,South,sst_projection,0.43
OND,South,combo_top2,0.482
OND,Central,nino34,0.489
OND,Central,atl3,-0.106
OND,Central,tna,-0.629
OND,Central,tsa,-0.249
OND,Central,atl_grad,-0.239
OND,Central,iod_dmi,0.518
OND,Central,wvg2,0.466
OND,Central,wvg3,0.445
OND,Central,persistence,-0.383
OND,Central,sst_projection,0.44
OND,Central,combo_top2,0.39
OND,North,nino34,0.49
OND,North,atl3,-0.125
OND,North,tna,-0.35
OND,North,tsa,-0.449
OND,North,atl_grad,-0.062
OND,North,iod_dmi,0.574
OND,North,wvg2,0.448
OND,North,wvg3,0.424
OND,North,persistence,-0.19
OND,North,sst_projection,0.462
OND,North,combo_top2,0.545
