country,season,band,predictor,train_r,oos_r,oos_lo,oos_hi,n_test
Nigeria,JJA,Middle,atl3,0.7390643189091669,0.12115139193941558,-0.25443989356261654,0.6732297380102735,14
Nigeria,JJAS,Middle,atl3,0.6530118655197299,0.2187192423968161,-0.21710823977967053,0.7315081314008689,14
Nigeria,JJAS,National,persistence,0.5276113151357058,-0.09313991553110613,-0.6910815304743197,0.5702374992934602,14
Nigeria,JAS,National,persistence,0.5200543953770869,-0.03262742610843114,-0.39221212466944644,0.5219732828848221,14
Nigeria,JJA,National,tsa,0.5074173869955595,0.0010288290310742694,-0.4801608240607372,0.5663242688432629,14
Ethiopia,OND,South,wvg2,0.46589554208664974,0.5959055043115312,0.2333190595699181,0.8463386773346279,14
Ethiopia,AMJ,South,sst_projection,0.4273083544381272,0.09730023773572193,-0.2820360485801619,0.5738714803627797,14
Ethiopia,AMJ,National,sst_projection,0.3617333656930686,0.07361390447008594,-0.30230615110737435,0.47839130164278276,14
Ethiopia,JAS,North,sst_projection,0.360207456035953,0.4291054611987372,-0.2791308867388117,0.8925767649483369,14
Ethiopia,AMJ,Central,sst_projection,0.3282171718041,0.03372680228244979,-0.3650034590823959,0.5015474138121908,14
Kenya,OND,South,wvg2,0.6017788395296133,0.4566647244504449,0.17809005115254656,0.798129390510015,14
Kenya,OND,National,wvg2,0.5773342687587644,0.4964540995239969,0.1744872695223286,0.8216713203960871,14
Kenya,OND,North,wvg2,0.5586881577213765,0.4965052936907515,0.14764705399211292,0.8109810747901535,14
Kenya,OND,Central,wvg2,0.5132272738870849,0.5071932680486825,0.19804417962070664,0.8157767954341963,14
Kenya,AMJ,National,wvg2,0.4720626131974515,0.09829192248679741,-0.3696163220091686,0.614571993621947,14
