region,season,init_month,lead,rpss,groc,pearson,afc2,hit_rate
Kenya OND (national),OND,9,1,0.065,0.64,0.384,0.638,0.417
Kenya OND (national),OND,8,2,-0.003,0.568,0.268,0.565,0.417
Kenya OND (national),OND,7,3,-0.009,0.557,0.102,0.543,0.375
Kenya OND (national),OND,6,4,0.103,0.663,0.499,0.682,0.5
Kenya OND (national),OND,5,5,0.079,0.643,0.366,0.651,0.583
Kenya OND (national),OND,4,6,-0.077,0.513,-0.003,0.503,0.417
Ethiopia OND (south),OND,9,1,0.049,0.624,0.237,0.619,0.458
Ethiopia OND (south),OND,8,2,-0.015,0.571,0.223,0.56,0.333
Ethiopia OND (south),OND,7,3,-0.012,0.554,0.077,0.55,0.375
Ethiopia OND (south),OND,6,4,0.045,0.608,0.385,0.625,0.417
Ethiopia OND (south),OND,5,5,0.03,0.588,0.197,0.587,0.458
Ethiopia OND (south),OND,4,6,0.079,0.637,0.37,0.654,0.5
Nigeria JAS (Middle Belt),JAS,6,1,-0.066,0.485,-0.08,0.483,0.375
Nigeria JAS (Middle Belt),JAS,5,2,-0.061,0.478,-0.096,0.474,0.333
Nigeria JAS (Middle Belt),JAS,4,3,-0.068,0.478,-0.104,0.463,0.292
Nigeria JAS (Middle Belt),JAS,3,4,-0.059,0.49,-0.042,0.484,0.292
Nigeria JAS (Middle Belt),JAS,2,5,-0.073,0.473,-0.113,0.464,0.25
Nigeria JAS (Middle Belt),JAS,1,6,-0.053,0.487,-0.038,0.482,0.292
