target,domain,n_models,ceiling,rpss,groc,afc2,pearson
JAS Kiremt (North),global_tropical,4,0.46,-0.007960739024718944,0.5377974308789725,0.5283618105341074,0.07120205897674768
JAS Kiremt (North),pacific,4,0.46,-0.001227986592013064,0.558232551028869,0.5485637924622893,0.1410916645676315
JAS Kiremt (North),atlantic,4,0.46,-0.033429688255660395,0.5210484368306132,0.5104239599633167,0.036791804513522965
JAS Kiremt (North),indian,4,0.46,-0.06861093748292202,0.5020380669490471,0.48343527749540355,-0.10325153800743395
JAS Kiremt (North),gulf_guinea,4,0.46,-0.07079893950417171,0.48644560058825426,0.47610660924059983,-0.06862023005816589
JAS Kiremt (North),precip_mos,4,0.46,-0.027225963212357263,0.5290738090384784,0.5171682369435724,0.04943583557819354
MAM South (long rains),global_tropical,4,0.05,-0.07409244549410077,0.48979528289362345,0.4894487902492269,-0.05595884405985492
MAM South (long rains),pacific,4,0.05,-0.09336202905817004,0.4749411702059371,0.46993814808077133,-0.0933673750195637
MAM South (long rains),atlantic,4,0.05,-0.044511855202868045,0.5063800054562536,0.5065338669577345,-0.008100232729685209
MAM South (long rains),indian,4,0.05,-0.07594564748634025,0.47687214969100683,0.4631465647929174,-0.1097398831097476
MAM South (long rains),gulf_guinea,4,0.05,-0.0714887903625454,0.4861812898642064,0.4859014007640531,-0.049288872696418566
MAM South (long rains),precip_mos,4,0.05,-0.08999991390545858,0.43683269397419516,0.4155600024255655,-0.22692114613759265
OND South (short rains),global_tropical,4,0.56,0.1059544005136811,0.649870678399071,0.6468831483839671,0.34596471834485865
OND South (short rains),pacific,4,0.56,0.1317877558481394,0.6665519613335433,0.6764750469953308,0.48991586160428596
OND South (short rains),atlantic,4,0.56,-0.014251022016561699,0.5415816862449887,0.5366260384452125,-0.009838305778440082
OND South (short rains),indian,4,0.56,0.15478581392800184,0.6958593107175995,0.6999120732520769,0.4412278926842002
OND South (short rains),gulf_guinea,4,0.56,0.03574178885844348,0.5911691755950818,0.5885937784245953,0.12450144819274402
OND South (short rains),precip_mos,4,0.56,-0.015250190552532406,0.5706605367698978,0.5597295494512158,0.22265220473353003
