target,domain,n_models,ceiling,rpss,groc,afc2,pearson
OND National (short rains),global_tropical,4,0.55,0.12580181146581804,0.6734532596205165,0.6569570000478309,0.4172708816723896
OND National (short rains),pacific,4,0.55,0.16815889755865843,0.6963938323494064,0.6912039029989955,0.4545447726348015
OND National (short rains),atlantic,4,0.55,-0.02639818178436637,0.5353496287128713,0.5249796718802315,0.03176655235665907
OND National (short rains),indian,4,0.55,0.16037561339770534,0.6858861138795399,0.7009614004878748,0.4813137990254384
OND National (short rains),gulf_guinea,4,0.55,-0.0755102384068922,0.5096109007559172,0.4985172430286507,-0.16624124328860537
OND National (short rains),precip_mos,4,0.55,-0.0025006191226226715,0.567615437802031,0.5647151671688908,0.26823440264407383
MAM National (long rains),global_tropical,4,0.0,-0.08701614152835324,0.44788640116074313,0.4278232171043191,-0.24264669511817932
MAM National (long rains),pacific,4,0.0,-0.10540658830839722,0.4529111842702422,0.4314224900750945,-0.2051023203494416
MAM National (long rains),atlantic,4,0.0,-0.015934391528989567,0.5336212612597894,0.5278614818003539,0.04762347275437328
MAM National (long rains),indian,4,0.0,-0.10804638871642425,0.4587495336786154,0.43479456641316294,-0.221908995367821
MAM National (long rains),gulf_guinea,4,0.0,-0.05303080410604366,0.5105649024060822,0.5056320849476252,-0.026552416481429048
MAM National (long rains),precip_mos,4,0.0,-0.06614203994158507,0.4713003865361784,0.4481991677428613,-0.14172404540010797
OND South (short rains),global_tropical,4,0.51,0.0463135728357692,0.6106947318940562,0.6129716673194935,0.33116931652968956
OND South (short rains),pacific,4,0.51,0.11321506758670885,0.6551733321158997,0.660138399268834,0.455986317939674
OND South (short rains),atlantic,4,0.51,-0.02164893699690862,0.5415497845818792,0.544424859642251,0.05902417263631755
OND South (short rains),indian,4,0.51,0.14699469761311956,0.6742143325758191,0.6949014231622928,0.47066963870774536
OND South (short rains),gulf_guinea,4,0.51,-0.060989851282990504,0.5202983811514217,0.5076054315184749,-0.08758542867472226
OND South (short rains),precip_mos,4,0.51,0.16468059767948307,0.6805597827557287,0.700548374461418,0.5764179317346448
