target,method,metric,mean,best,n,ceiling
JAS Middle,climatology,generalized_roc,0.502,0.502,4,0.36
JAS Middle,climatology,rpss,-0.505,-0.505,4,0.36
JAS Middle,cca,generalized_roc,0.528,0.539,4,0.36
JAS Middle,cca,rpss,-0.164,-0.078,4,0.36
JAS Middle,bcsd,generalized_roc,0.502,0.51,4,0.36
JAS Middle,bcsd,rpss,-0.46,-0.384,4,0.36
JAS Middle,qm,generalized_roc,0.502,0.509,4,0.36
JAS Middle,qm,rpss,-0.479,-0.389,4,0.36
JAS Middle,dqm,generalized_roc,0.501,0.501,4,0.36
JAS Middle,dqm,rpss,-0.712,-0.709,4,0.36
JAS Middle,delta,generalized_roc,0.511,0.534,4,0.36
JAS Middle,delta,rpss,-0.478,-0.181,4,0.36
JAS Middle,rank-analog,generalized_roc,0.502,0.529,4,0.36
JAS Middle,rank-analog,rpss,-0.695,-0.425,4,0.36
JAS Sahel,climatology,generalized_roc,0.503,0.503,4,0.23
JAS Sahel,climatology,rpss,-0.507,-0.507,4,0.23
JAS Sahel,cca,generalized_roc,0.525,0.551,4,0.23
JAS Sahel,cca,rpss,-0.179,-0.096,4,0.23
JAS Sahel,bcsd,generalized_roc,0.511,0.523,4,0.23
JAS Sahel,bcsd,rpss,-0.4,-0.376,4,0.23
JAS Sahel,qm,generalized_roc,0.511,0.521,4,0.23
JAS Sahel,qm,rpss,-0.415,-0.39,4,0.23
JAS Sahel,dqm,generalized_roc,0.5,0.501,4,0.23
JAS Sahel,dqm,rpss,-0.711,-0.699,4,0.23
JAS Sahel,delta,generalized_roc,0.557,0.593,4,0.23
JAS Sahel,delta,rpss,-0.279,-0.146,4,0.23
JAS Sahel,rank-analog,generalized_roc,0.541,0.56,4,0.23
JAS Sahel,rank-analog,rpss,-0.623,-0.495,4,0.23
OND National,climatology,generalized_roc,0.506,0.506,4,0.24
OND National,climatology,rpss,-0.443,-0.443,4,0.24
OND National,cca,generalized_roc,0.536,0.557,4,0.24
OND National,cca,rpss,-0.129,-0.004,4,0.24
OND National,bcsd,generalized_roc,0.511,0.538,4,0.24
OND National,bcsd,rpss,-0.275,-0.12,4,0.24
OND National,qm,generalized_roc,0.512,0.536,4,0.24
OND National,qm,rpss,-0.293,-0.136,4,0.24
OND National,dqm,generalized_roc,0.512,0.53,4,0.24
OND National,dqm,rpss,-0.588,-0.23,4,0.24
OND National,delta,generalized_roc,0.509,0.551,4,0.24
OND National,delta,rpss,-0.326,-0.086,4,0.24
OND National,rank-analog,generalized_roc,0.513,0.543,4,0.24
OND National,rank-analog,rpss,-0.671,-0.568,4,0.24
