target,method,metric,mean,best,n,ceiling
JAS Kiremt (North),climatology,generalized_roc,0.505,0.505,4,0.46
JAS Kiremt (North),climatology,rpss,-0.301,-0.301,4,0.46
JAS Kiremt (North),cca,generalized_roc,0.543,0.581,4,0.46
JAS Kiremt (North),cca,rpss,0.023,0.11,4,0.46
JAS Kiremt (North),bcsd,generalized_roc,0.522,0.532,4,0.46
JAS Kiremt (North),bcsd,rpss,-0.147,-0.11,4,0.46
JAS Kiremt (North),qm,generalized_roc,0.518,0.524,4,0.46
JAS Kiremt (North),qm,rpss,-0.219,-0.167,4,0.46
JAS Kiremt (North),dqm,generalized_roc,0.51,0.511,4,0.46
JAS Kiremt (North),dqm,rpss,-0.371,-0.266,4,0.46
JAS Kiremt (North),delta,generalized_roc,0.551,0.561,4,0.46
JAS Kiremt (North),delta,rpss,-0.093,0.029,4,0.46
JAS Kiremt (North),rank-analog,generalized_roc,0.516,0.557,4,0.46
JAS Kiremt (North),rank-analog,rpss,-0.713,-0.577,4,0.46
MAM South (long rains),climatology,generalized_roc,0.504,0.504,4,0.05
MAM South (long rains),climatology,rpss,-0.486,-0.486,4,0.05
MAM South (long rains),cca,generalized_roc,0.521,0.571,4,0.05
MAM South (long rains),cca,rpss,-0.183,-0.036,4,0.05
MAM South (long rains),bcsd,generalized_roc,0.518,0.522,4,0.05
MAM South (long rains),bcsd,rpss,-0.327,-0.291,4,0.05
MAM South (long rains),qm,generalized_roc,0.519,0.523,4,0.05
MAM South (long rains),qm,rpss,-0.329,-0.292,4,0.05
MAM South (long rains),dqm,generalized_roc,0.515,0.519,4,0.05
MAM South (long rains),dqm,rpss,-0.438,-0.301,4,0.05
MAM South (long rains),delta,generalized_roc,0.56,0.563,4,0.05
MAM South (long rains),delta,rpss,-0.241,-0.11,4,0.05
MAM South (long rains),rank-analog,generalized_roc,0.551,0.568,4,0.05
MAM South (long rains),rank-analog,rpss,-0.486,-0.357,4,0.05
OND South (short rains),climatology,generalized_roc,0.511,0.511,4,0.56
OND South (short rains),climatology,rpss,-0.535,-0.535,4,0.56
OND South (short rains),cca,generalized_roc,0.602,0.668,4,0.56
OND South (short rains),cca,rpss,-0.064,0.111,4,0.56
OND South (short rains),bcsd,generalized_roc,0.513,0.533,4,0.56
OND South (short rains),bcsd,rpss,-0.368,-0.292,4,0.56
OND South (short rains),qm,generalized_roc,0.513,0.533,4,0.56
OND South (short rains),qm,rpss,-0.37,-0.295,4,0.56
OND South (short rains),dqm,generalized_roc,0.507,0.517,4,0.56
OND South (short rains),dqm,rpss,-0.585,-0.529,4,0.56
OND South (short rains),delta,generalized_roc,0.549,0.6,4,0.56
OND South (short rains),delta,rpss,-0.311,-0.176,4,0.56
OND South (short rains),rank-analog,generalized_roc,0.555,0.604,4,0.56
OND South (short rains),rank-analog,rpss,-0.543,-0.415,4,0.56
