target,method,metric,mean,best,n,ceiling
OND National (short rains),climatology,generalized_roc,0.516,0.516,4,0.55
OND National (short rains),climatology,rpss,-0.578,-0.578,4,0.55
OND National (short rains),cca,generalized_roc,0.602,0.673,4,0.55
OND National (short rains),cca,rpss,-0.048,0.143,4,0.55
OND National (short rains),bcsd,generalized_roc,0.539,0.593,4,0.55
OND National (short rains),bcsd,rpss,-0.29,-0.042,4,0.55
OND National (short rains),qm,generalized_roc,0.537,0.582,4,0.55
OND National (short rains),qm,rpss,-0.299,-0.094,4,0.55
OND National (short rains),dqm,generalized_roc,0.526,0.553,4,0.55
OND National (short rains),dqm,rpss,-0.513,-0.325,4,0.55
OND National (short rains),delta,generalized_roc,0.563,0.671,4,0.55
OND National (short rains),delta,rpss,-0.355,0.076,4,0.55
OND National (short rains),rank-analog,generalized_roc,0.56,0.605,4,0.55
OND National (short rains),rank-analog,rpss,-0.712,-0.559,4,0.55
MAM National (long rains),climatology,generalized_roc,0.503,0.503,4,0.0
MAM National (long rains),climatology,rpss,-0.405,-0.405,4,0.0
MAM National (long rains),cca,generalized_roc,0.543,0.601,4,0.0
MAM National (long rains),cca,rpss,-0.077,0.035,4,0.0
MAM National (long rains),bcsd,generalized_roc,0.532,0.54,4,0.0
MAM National (long rains),bcsd,rpss,-0.195,-0.13,4,0.0
MAM National (long rains),qm,generalized_roc,0.531,0.539,4,0.0
MAM National (long rains),qm,rpss,-0.236,-0.159,4,0.0
MAM National (long rains),dqm,generalized_roc,0.52,0.532,4,0.0
MAM National (long rains),dqm,rpss,-0.415,-0.211,4,0.0
MAM National (long rains),delta,generalized_roc,0.568,0.576,4,0.0
MAM National (long rains),delta,rpss,-0.143,-0.026,4,0.0
MAM National (long rains),rank-analog,generalized_roc,0.538,0.571,4,0.0
MAM National (long rains),rank-analog,rpss,-0.663,-0.599,4,0.0
OND South (short rains),climatology,generalized_roc,0.524,0.524,4,0.51
OND South (short rains),climatology,rpss,-0.352,-0.352,4,0.51
OND South (short rains),cca,generalized_roc,0.646,0.684,4,0.51
OND South (short rains),cca,rpss,0.199,0.264,4,0.51
OND South (short rains),bcsd,generalized_roc,0.519,0.536,4,0.51
OND South (short rains),bcsd,rpss,-0.153,-0.069,4,0.51
OND South (short rains),qm,generalized_roc,0.518,0.532,4,0.51
OND South (short rains),qm,rpss,-0.178,-0.089,4,0.51
OND South (short rains),dqm,generalized_roc,0.517,0.537,4,0.51
OND South (short rains),dqm,rpss,-0.247,-0.15,4,0.51
OND South (short rains),delta,generalized_roc,0.585,0.673,4,0.51
OND South (short rains),delta,rpss,-0.05,0.185,4,0.51
OND South (short rains),rank-analog,generalized_roc,0.605,0.735,4,0.51
OND South (short rains),rank-analog,rpss,-0.355,-0.248,4,0.51
