country,kind,season,band,predictor,cv_corr,p_perm,q_bh
Ethiopia,textbook,SON,South,nino34,0.459,0.0002,0.0229
Ethiopia,textbook,SON,South,iod_dmi,0.45,0.0004,0.0229
Ethiopia,textbook,OND,South,nino34,0.551,0.0004,0.0229
Ethiopia,textbook,OND,South,iod_dmi,0.561,0.0002,0.0229
Ethiopia,textbook,JAS,North,wvg3,0.457,0.0004,0.0229
Ethiopia,textbook,OND,South,wvg2,0.487,0.0008,0.0254
Ethiopia,textbook,OND,South,wvg3,0.473,0.0008,0.0254
Ethiopia,adaptive,OND,South,sst_projection,0.526,0.0008,0.0254
Ethiopia,adaptive,OND,South,combo_top2,0.564,0.0006,0.0254
Ethiopia,textbook,JAS,North,wvg2,0.453,0.0012,0.0343
Ethiopia,textbook,SON,National,iod_dmi,0.391,0.0018,0.0468
Ethiopia,textbook,JAS,North,nino34,0.406,0.0024,0.0572
Ethiopia,textbook,JAS,National,wvg3,0.397,0.003,0.066
Ethiopia,textbook,JAS,National,wvg2,0.394,0.0036,0.0735
Kenya,textbook,OND,National,iod_dmi,0.545,0.0002,0.0088
Kenya,textbook,OND,South,iod_dmi,0.505,0.0002,0.0088
Kenya,textbook,OND,Central,nino34,0.489,0.0002,0.0088
Kenya,textbook,OND,Central,iod_dmi,0.518,0.0002,0.0088
Kenya,textbook,OND,North,iod_dmi,0.574,0.0002,0.0088
Kenya,textbook,OND,South,nino34,0.484,0.0004,0.0098
Kenya,textbook,OND,Central,wvg2,0.466,0.0004,0.0098
Kenya,textbook,OND,North,wvg3,0.424,0.0004,0.0098
Kenya,adaptive,OND,North,combo_top2,0.545,0.0004,0.0098
Kenya,textbook,OND,National,nino34,0.502,0.0006,0.0117
Kenya,textbook,OND,National,wvg2,0.464,0.0008,0.0117
Kenya,textbook,OND,Central,wvg3,0.445,0.0008,0.0117
Kenya,textbook,SON,North,iod_dmi,0.454,0.0006,0.0117
Kenya,textbook,OND,North,nino34,0.49,0.0008,0.0117
Kenya,textbook,OND,North,wvg2,0.448,0.0008,0.0117
Kenya,textbook,SON,Central,iod_dmi,0.404,0.001,0.0138
Kenya,adaptive,OND,National,combo_top2,0.522,0.0012,0.0155
Kenya,textbook,SON,National,iod_dmi,0.432,0.0014,0.0171
Kenya,textbook,OND,National,wvg3,0.445,0.0016,0.0185
Kenya,adaptive,OND,National,sst_projection,0.455,0.0018,0.0198
Kenya,textbook,OND,South,wvg2,0.438,0.0022,0.023
Kenya,textbook,SON,National,nino34,0.394,0.0026,0.0238
Kenya,textbook,OND,South,wvg3,0.424,0.0024,0.0238
Kenya,adaptive,OND,Central,sst_projection,0.44,0.0026,0.0238
Kenya,textbook,SON,North,nino34,0.387,0.0028,0.0244
Kenya,adaptive,OND,South,combo_top2,0.482,0.003,0.0244
Kenya,adaptive,OND,North,sst_projection,0.462,0.003,0.0244
Kenya,textbook,SON,South,iod_dmi,0.39,0.0032,0.0251
Kenya,textbook,SON,South,nino34,0.392,0.0034,0.0258
Kenya,textbook,JAS,Central,wvg3,0.368,0.0036,0.0264
Kenya,textbook,SON,Central,nino34,0.364,0.0044,0.0302
Kenya,adaptive,SON,North,combo_top2,0.463,0.0044,0.0302
Kenya,adaptive,SON,National,combo_top2,0.45,0.0046,0.0307
Kenya,adaptive,OND,South,sst_projection,0.43,0.006,0.0388
Kenya,textbook,JAS,Central,wvg2,0.354,0.0072,0.0452
Kenya,adaptive,SON,Central,combo_top2,0.418,0.0074,0.0452
Kenya,textbook,ASO,Central,iod_dmi,0.332,0.0082,0.0488
Kenya,adaptive,SON,South,combo_top2,0.422,0.0096,0.0541
Kenya,adaptive,OND,Central,combo_top2,0.39,0.0094,0.0541
Kenya,textbook,SON,National,wvg2,0.29,0.0118,0.0649
Kenya,textbook,SON,South,wvg2,0.279,0.014,0.0733
Kenya,textbook,SON,North,wvg2,0.291,0.0138,0.0733
Kenya,textbook,SON,National,wvg3,0.265,0.0186,0.0899
Kenya,textbook,SON,South,wvg3,0.266,0.0176,0.0899
Kenya,textbook,SON,Central,wvg2,0.265,0.018,0.0899
Kenya,textbook,SON,North,wvg3,0.256,0.0188,0.0899
Kenya,textbook,JAS,Central,nino34,0.259,0.0202,0.0926
Kenya,adaptive,JAS,Central,sst_projection,0.353,0.0198,0.0926
