country,season,band,predictor,cv_corr_dt,p_perm_dt,q_bh_dt
Nigeria,JJA,National,nino34,-0.699,0.7852,0.9119
Nigeria,JJA,National,atl3,0.164,0.0632,0.4136
Nigeria,JJA,National,tna,-0.48,0.6437,0.8345
Nigeria,JJA,National,tsa,0.13,0.0832,0.4143
Nigeria,JJA,National,atl_grad,0.042,0.1298,0.4695
Nigeria,JJA,National,iod_dmi,0.267,0.0196,0.3647
Nigeria,JJA,National,wvg2,-0.463,0.5959,0.8052
Nigeria,JJA,National,wvg3,-0.574,0.6867,0.8451
Nigeria,JAS,National,nino34,-0.176,0.3365,0.6461
Nigeria,JAS,National,atl3,0.236,0.0276,0.3647
Nigeria,JAS,National,tna,0.028,0.1468,0.4695
Nigeria,JAS,National,tsa,0.123,0.0774,0.4143
Nigeria,JAS,National,atl_grad,0.246,0.024,0.3647
Nigeria,JAS,National,iod_dmi,-0.207,0.3669,0.6595
Nigeria,JAS,National,wvg2,-0.187,0.3723,0.6595
Nigeria,JAS,National,wvg3,-0.215,0.3859,0.6606
Nigeria,JJAS,National,nino34,-0.672,0.7766,0.9092
Nigeria,JJAS,National,atl3,0.174,0.0516,0.3647
Nigeria,JJAS,National,tna,-0.34,0.5127,0.7837
Nigeria,JJAS,National,tsa,0.143,0.0708,0.4143
Nigeria,JJAS,National,atl_grad,0.064,0.1242,0.4695
Nigeria,JJAS,National,iod_dmi,-0.096,0.2595,0.5751
Nigeria,JJAS,National,wvg2,-0.417,0.5669,0.8016
Nigeria,JJAS,National,wvg3,-0.525,0.6629,0.8345
Nigeria,ASO,National,nino34,-0.082,0.2529,0.5751
Nigeria,ASO,National,atl3,0.196,0.0416,0.3647
Nigeria,ASO,National,tna,0.105,0.0948,0.4143
Nigeria,ASO,National,tsa,0.092,0.1034,0.4143
Nigeria,ASO,National,atl_grad,0.277,0.017,0.3647
Nigeria,ASO,National,iod_dmi,-0.101,0.2629,0.5751
Nigeria,ASO,National,wvg2,-0.195,0.3679,0.6595
Nigeria,ASO,National,wvg3,-0.19,0.3615,0.6595
Nigeria,AMJ,South,nino34,0.201,0.045,0.3647
Nigeria,AMJ,South,atl3,-0.014,0.1738,0.4721
Nigeria,AMJ,South,tna,-0.528,0.6665,0.8345
Nigeria,AMJ,South,tsa,0.117,0.0864,0.4143
Nigeria,AMJ,South,atl_grad,-0.259,0.4181,0.6842
Nigeria,AMJ,South,iod_dmi,0.167,0.0532,0.3647
Nigeria,AMJ,South,wvg2,0.179,0.0476,0.3647
Nigeria,AMJ,South,wvg3,0.189,0.0468,0.3647
Nigeria,JJA,South,nino34,-0.522,0.6559,0.8345
Nigeria,JJA,South,atl3,-0.02,0.1902,0.489
Nigeria,JJA,South,tna,-0.731,0.9042,0.9549
Nigeria,JJA,South,tsa,-0.046,0.2198,0.5274
Nigeria,JJA,South,atl_grad,-0.113,0.2759,0.5751
Nigeria,JJA,South,iod_dmi,-0.046,0.2086,0.5178
Nigeria,JJA,South,wvg2,-0.576,0.6993,0.8533
Nigeria,JJA,South,wvg3,-0.55,0.6773,0.8407
Nigeria,JAS,South,nino34,-0.315,0.4893,0.7659
Nigeria,JAS,South,atl3,0.241,0.0312,0.3647
Nigeria,JAS,South,tna,-0.471,0.6349,0.8345
Nigeria,JAS,South,tsa,0.119,0.0866,0.4143
Nigeria,JAS,South,atl_grad,0.009,0.1682,0.4701
Nigeria,JAS,South,iod_dmi,-0.112,0.2795,0.5751
Nigeria,JAS,South,wvg2,-0.526,0.6617,0.8345
Nigeria,JAS,South,wvg3,-0.425,0.5797,0.8016
Nigeria,JJAS,South,nino34,-0.392,0.5421,0.79
Nigeria,JJAS,South,atl3,0.039,0.1348,0.4695
Nigeria,JJAS,South,tna,-0.689,0.8476,0.9549
Nigeria,JJAS,South,tsa,0.021,0.1582,0.4695
Nigeria,JJAS,South,atl_grad,-0.127,0.2869,0.5819
Nigeria,JJAS,South,iod_dmi,-0.133,0.2909,0.5819
Nigeria,JJAS,South,wvg2,-0.419,0.5739,0.8016
Nigeria,JJAS,South,wvg3,-0.406,0.5515,0.7941
Nigeria,ASO,South,nino34,0.017,0.1554,0.4695
Nigeria,ASO,South,atl3,0.329,0.0098,0.3647
Nigeria,ASO,South,tna,-0.165,0.3357,0.6461
Nigeria,ASO,South,tsa,0.134,0.0756,0.4143
Nigeria,ASO,South,atl_grad,0.121,0.0822,0.4143
Nigeria,ASO,South,iod_dmi,-0.223,0.3705,0.6595
Nigeria,ASO,South,wvg2,-0.185,0.3585,0.6595
Nigeria,ASO,South,wvg3,-0.097,0.2693,0.5751
Nigeria,SON,South,nino34,-0.363,0.5335,0.79
Nigeria,SON,South,atl3,-0.321,0.4803,0.76
Nigeria,SON,South,tna,-0.218,0.3893,0.6606
Nigeria,SON,South,tsa,-0.806,0.9104,0.9549
Nigeria,SON,South,atl_grad,-0.338,0.5103,0.7837
Nigeria,SON,South,iod_dmi,0.023,0.1438,0.4695
Nigeria,SON,South,wvg2,-0.779,0.9002,0.9549
Nigeria,SON,South,wvg3,-0.63,0.7708,0.9092
Nigeria,JJA,Middle,nino34,-0.878,0.9838,0.9846
Nigeria,JJA,Middle,atl3,0.225,0.032,0.3647
Nigeria,JJA,Middle,tna,-0.22,0.3941,0.6606
Nigeria,JJA,Middle,tsa,0.103,0.0934,0.4143
Nigeria,JJA,Middle,atl_grad,0.132,0.0808,0.4143
Nigeria,JJA,Middle,iod_dmi,0.296,0.0158,0.3647
Nigeria,JJA,Middle,wvg2,-0.639,0.7483,0.8979
Nigeria,JJA,Middle,wvg3,-0.768,0.8552,0.9549
Nigeria,JAS,Middle,nino34,-0.818,0.9284,0.9549
Nigeria,JAS,Middle,atl3,0.185,0.05,0.3647
Nigeria,JAS,Middle,tna,0.228,0.034,0.3647
Nigeria,JAS,Middle,tsa,0.091,0.1032,0.4143
Nigeria,JAS,Middle,atl_grad,0.395,0.0024,0.3455
Nigeria,JAS,Middle,iod_dmi,-0.367,0.5171,0.7837
Nigeria,JAS,Middle,wvg2,-0.768,0.8752,0.9549
Nigeria,JAS,Middle,wvg3,-0.808,0.9242,0.9549
Nigeria,JJAS,Middle,nino34,-0.658,0.7481,0.8979
Nigeria,JJAS,Middle,atl3,0.197,0.0412,0.3647
Nigeria,JJAS,Middle,tna,-0.033,0.202,0.5102
Nigeria,JJAS,Middle,tsa,0.078,0.1036,0.4143
Nigeria,JJAS,Middle,atl_grad,0.21,0.0314,0.3647
Nigeria,JJAS,Middle,iod_dmi,0.007,0.1568,0.4695
Nigeria,JJAS,Middle,wvg2,-0.831,0.9256,0.9549
Nigeria,JJAS,Middle,wvg3,-0.836,0.9352,0.9551
Nigeria,ASO,Middle,nino34,-0.783,0.8856,0.9549
Nigeria,ASO,Middle,atl3,0.083,0.1036,0.4143
Nigeria,ASO,Middle,tna,0.278,0.0148,0.3647
Nigeria,ASO,Middle,tsa,0.031,0.139,0.4695
Nigeria,ASO,Middle,atl_grad,0.369,0.005,0.3599
Nigeria,ASO,Middle,iod_dmi,-0.052,0.215,0.5246
Nigeria,ASO,Middle,wvg2,-0.826,0.9456,0.9589
Nigeria,ASO,Middle,wvg3,-0.807,0.9238,0.9549
Nigeria,JJA,North,nino34,-0.826,0.9176,0.9549
Nigeria,JJA,North,atl3,-0.248,0.4155,0.6842
Nigeria,JJA,North,tna,-0.855,0.9846,0.9846
Nigeria,JJA,North,tsa,-0.205,0.3755,0.6595
Nigeria,JJA,North,atl_grad,-0.518,0.6597,0.8345
Nigeria,JJA,North,iod_dmi,-0.008,0.1698,0.4701
Nigeria,JJA,North,wvg2,-0.447,0.5845,0.8016
Nigeria,JJA,North,wvg3,-0.664,0.7554,0.899
Nigeria,JAS,North,nino34,0.024,0.1546,0.4695
Nigeria,JAS,North,atl3,-0.22,0.3945,0.6606
Nigeria,JAS,North,tna,-0.146,0.3169,0.6252
