country,season,band,predictor,cv_corr,p_perm,q_bh
Nigeria,JJA,National,nino34,-0.47,0.6025,0.7166
Nigeria,JJA,National,atl3,0.288,0.0156,0.2016
Nigeria,JJA,National,tna,-0.834,0.976,0.9904
Nigeria,JJA,National,tsa,0.267,0.0254,0.2107
Nigeria,JJA,National,atl_grad,0.027,0.1436,0.4425
Nigeria,JJA,National,iod_dmi,0.24,0.0278,0.2107
Nigeria,JJA,National,wvg2,-0.091,0.2488,0.4884
Nigeria,JJA,National,wvg3,-0.141,0.3111,0.5091
Nigeria,JAS,National,nino34,-0.085,0.2484,0.4884
Nigeria,JAS,National,atl3,0.292,0.0148,0.2016
Nigeria,JAS,National,tna,-0.174,0.3545,0.5389
Nigeria,JAS,National,tsa,0.184,0.0462,0.2636
Nigeria,JAS,National,atl_grad,0.235,0.0272,0.2107
Nigeria,JAS,National,iod_dmi,-0.246,0.4081,0.5936
Nigeria,JAS,National,wvg2,0.014,0.158,0.4425
Nigeria,JAS,National,wvg3,0.0,0.1736,0.4425
Nigeria,JJAS,National,nino34,-0.395,0.5511,0.6961
Nigeria,JJAS,National,atl3,0.317,0.0126,0.2016
Nigeria,JJAS,National,tna,-0.892,0.9974,0.9974
Nigeria,JJAS,National,tsa,0.295,0.0156,0.2016
Nigeria,JJAS,National,atl_grad,0.053,0.133,0.4425
Nigeria,JJAS,National,iod_dmi,-0.136,0.2947,0.5014
Nigeria,JJAS,National,wvg2,0.003,0.1716,0.4425
Nigeria,JJAS,National,wvg3,-0.043,0.2128,0.4787
Nigeria,ASO,National,nino34,-0.038,0.207,0.4787
Nigeria,ASO,National,atl3,0.247,0.0224,0.2016
Nigeria,ASO,National,tna,-0.121,0.2913,0.5014
Nigeria,ASO,National,tsa,0.153,0.0576,0.2636
Nigeria,ASO,National,atl_grad,0.261,0.0212,0.2016
Nigeria,ASO,National,iod_dmi,-0.135,0.2959,0.5014
Nigeria,ASO,National,wvg2,-0.001,0.1694,0.4425
Nigeria,ASO,National,wvg3,0.002,0.1668,0.4425
Nigeria,AMJ,South,nino34,0.196,0.0458,0.2636
Nigeria,AMJ,South,atl3,-0.095,0.2513,0.4884
Nigeria,AMJ,South,tna,-0.462,0.6025,0.7166
Nigeria,AMJ,South,tsa,0.032,0.1406,0.4425
Nigeria,AMJ,South,atl_grad,-0.27,0.4323,0.6044
Nigeria,AMJ,South,iod_dmi,0.168,0.0546,0.2636
Nigeria,AMJ,South,wvg2,0.153,0.0586,0.2636
Nigeria,AMJ,South,wvg3,0.168,0.058,0.2636
Nigeria,JJA,South,nino34,-0.531,0.6623,0.7691
Nigeria,JJA,South,atl3,-0.078,0.2464,0.4884
Nigeria,JJA,South,tna,-0.651,0.7996,0.8593
Nigeria,JJA,South,tsa,-0.155,0.3411,0.5298
Nigeria,JJA,South,atl_grad,-0.115,0.2747,0.5008
Nigeria,JJA,South,iod_dmi,-0.047,0.2098,0.4787
Nigeria,JJA,South,wvg2,-0.599,0.7161,0.8071
Nigeria,JJA,South,wvg3,-0.57,0.6937,0.7928
Nigeria,JAS,South,nino34,-0.38,0.5453,0.6949
Nigeria,JAS,South,atl3,0.174,0.0556,0.2636
Nigeria,JAS,South,tna,-0.248,0.4207,0.6044
Nigeria,JAS,South,tsa,-0.114,0.2959,0.5014
Nigeria,JAS,South,atl_grad,0.013,0.165,0.4425
Nigeria,JAS,South,iod_dmi,-0.097,0.2609,0.4943
Nigeria,JAS,South,wvg2,-0.685,0.7974,0.8593
Nigeria,JAS,South,wvg3,-0.598,0.7175,0.8071
