season,band,index,corr
MAM,National,nino34,0.030492526997123345
MAM,National,atl3,-0.26185477179568367
MAM,National,tna,-0.139925545242297
MAM,National,tsa,-0.20286932238034514
MAM,National,atl_grad,0.06109739331276762
MAM,National,iod_dmi,0.03939733228485539
MAM,National,wvg2,0.07594385199270924
MAM,National,wvg3,0.05978058529180545
MAM,South,nino34,-0.196197124332422
MAM,South,atl3,-0.29382569706569134
MAM,South,tna,-0.15299891774918237
MAM,South,tsa,-0.26427163427076056
MAM,South,atl_grad,0.10489469486197406
MAM,South,iod_dmi,-0.0689406934974232
MAM,South,wvg2,-0.13578045021640647
MAM,South,wvg3,-0.15307275873016293
MAM,Middle,nino34,0.20676318208597586
MAM,Middle,atl3,-0.20148265067164597
MAM,Middle,tna,-0.11213043115171882
MAM,Middle,tsa,-0.1195431908244212
MAM,Middle,atl_grad,0.010351803738261259
MAM,Middle,iod_dmi,0.16342457718121214
MAM,Middle,wvg2,0.21725925810455504
MAM,Middle,wvg3,0.20930045155521343
MAM,North,nino34,0.29561550005281584
MAM,North,atl3,-0.11579721451003992
MAM,North,tna,-0.06466258057679447
MAM,North,tsa,-0.05721491468929944
MAM,North,atl_grad,-0.00454898688155731
MAM,North,iod_dmi,0.08409812845841537
MAM,North,wvg2,0.33251071625473944
MAM,North,wvg3,0.31574135503986095
AMJ,National,nino34,-0.05359767726594717
AMJ,National,atl3,-0.09353719313394718
AMJ,National,tna,0.010611640268963447
AMJ,National,tsa,-0.13300017138933243
AMJ,National,atl_grad,0.1312570441687879
AMJ,National,iod_dmi,0.3394769742947085
AMJ,National,wvg2,-0.05994994691729679
AMJ,National,wvg3,-0.06428266075742851
AMJ,South,nino34,-0.32898236108233336
AMJ,South,atl3,-0.21145397911929198
AMJ,South,tna,-0.0828874707021364
AMJ,South,tsa,-0.26754577313610484
AMJ,South,atl_grad,0.16546921118255803
AMJ,South,iod_dmi,0.31777650791475975
AMJ,South,wvg2,-0.30543850228698666
AMJ,South,wvg3,-0.31313987817118166
AMJ,Middle,nino34,0.0785379660003595
AMJ,Middle,atl3,0.01331401775540713
AMJ,Middle,tna,-0.03017321036742262
AMJ,Middle,tsa,-0.02837264794964604
AMJ,Middle,atl_grad,-0.002673577638843827
AMJ,Middle,iod_dmi,0.334782342411667
AMJ,Middle,wvg2,0.038120215540250996
AMJ,Middle,wvg3,0.04413674772361717
AMJ,North,nino34,0.2944604406768233
AMJ,North,atl3,0.02917801564762196
AMJ,North,tna,0.228494504904467
AMJ,North,tsa,0.04640520055648114
AMJ,North,atl_grad,0.17378259842922272
AMJ,North,iod_dmi,0.18131833433118313
AMJ,North,wvg2,0.2845638925682923
AMJ,North,wvg3,0.27476588075727515
JJA,National,nino34,-0.11139704170290848
JJA,National,atl3,0.43352491938929977
JJA,National,tna,0.02445267598554283
JJA,National,tsa,0.39980608355263386
JJA,National,atl_grad,-0.27121733403084786
JJA,National,iod_dmi,0.3821294916589448
JJA,National,wvg2,-0.2207576452057665
JJA,National,wvg3,-0.19935551332843132
JJA,South,nino34,-0.08326467441001686
JJA,South,atl3,0.2120857915709556
JJA,South,tna,-0.04800758828685748
JJA,South,tsa,0.1739439386333516
JJA,South,atl_grad,-0.17171329130686916
JJA,South,iod_dmi,0.22137465696042924
JJA,South,wvg2,-0.0735833750916168
JJA,South,wvg3,-0.07483343023382787
JJA,Middle,nino34,-0.06823871895638822
JJA,Middle,atl3,0.4639288484715591
JJA,Middle,tna,0.0029644811835521844
JJA,Middle,tsa,0.41231170247950816
JJA,Middle,atl_grad,-0.30008255133657086
JJA,Middle,iod_dmi,0.3868436869641982
JJA,Middle,wvg2,-0.20654763226960196
JJA,Middle,wvg3,-0.1864086533436791
JJA,North,nino34,-0.07819754459517099
JJA,North,atl3,0.2757958735346608
JJA,North,tna,0.13976385736598554
JJA,North,tsa,0.30689027184726486
JJA,North,atl_grad,-0.09736641422373409
JJA,North,iod_dmi,0.20993626263906748
JJA,North,wvg2,-0.22936251184503048
JJA,North,wvg3,-0.19338042220319246
JAS,National,nino34,-0.24199593715305967
JAS,National,atl3,0.41626746922406144
JAS,National,tna,-0.15947825503483434
JAS,National,tsa,0.34874724888021663
JAS,National,atl_grad,-0.3919005066354811
JAS,National,iod_dmi,0.16082029687876262
JAS,National,wvg2,-0.27361291964289325
JAS,National,wvg3,-0.264131699612949
JAS,South,nino34,-0.14899984215935694
JAS,South,atl3,0.315145472433603
JAS,South,tna,-0.12614502126788252
JAS,South,tsa,0.18270348779129603
JAS,South,atl_grad,-0.24313694129855776
JAS,South,iod_dmi,0.1908785135948954
JAS,South,wvg2,-0.06803025829936575
JAS,South,wvg3,-0.08326755198764345
JAS,Middle,nino34,-0.052715977705789376
JAS,Middle,atl3,0.41221953693509555
JAS,Middle,tna,-0.2049084298937493
JAS,Middle,tsa,0.40593793621159413
JAS,Middle,atl_grad,-0.4732863670366771
