season,band,index,corr
MAM,National,nino34,0.14406637358079405
MAM,National,atl3,0.09747322136460121
MAM,National,tna,0.056279410660223586
MAM,National,tsa,0.13631354167176354
MAM,National,atl_grad,-0.07367237505698564
MAM,National,iod_dmi,0.23757770514407997
MAM,National,wvg2,0.15815048502264917
MAM,National,wvg3,0.16374822593833838
MAM,South,nino34,0.12212654557100279
MAM,South,atl3,0.0937890876043802
MAM,South,tna,0.023937487281514305
MAM,South,tsa,0.07719624181402919
MAM,South,atl_grad,-0.04857937174397853
MAM,South,iod_dmi,0.19867933497858226
MAM,South,wvg2,0.1333927150574834
MAM,South,wvg3,0.1390317665386957
MAM,Central,nino34,0.1841985671665022
MAM,Central,atl3,0.10594691149838317
MAM,Central,tna,0.0859474513271855
MAM,Central,tsa,0.19951103808404014
MAM,Central,atl_grad,-0.10473762148673213
MAM,Central,iod_dmi,0.2418444504524978
MAM,Central,wvg2,0.18463929833043818
MAM,Central,wvg3,0.1929169659589487
MAM,North,nino34,0.05788081885285869
MAM,North,atl3,0.04032590650422012
MAM,North,tna,0.04911279414966047
MAM,North,tsa,0.0945535818294628
MAM,North,atl_grad,-0.04239503819448829
MAM,North,iod_dmi,0.16983816975273627
MAM,North,wvg2,0.08447091102538117
MAM,North,wvg3,0.08387348021339062
AMJ,National,nino34,0.18958100047932033
AMJ,National,atl3,-0.0053691928223051555
AMJ,National,tna,0.08313122963925168
AMJ,National,tsa,0.06743267193301701
AMJ,National,atl_grad,0.01715292348867783
AMJ,National,iod_dmi,0.14940782067754918
AMJ,National,wvg2,0.21627526714394554
AMJ,National,wvg3,0.2249503282011853
AMJ,South,nino34,0.23611421465699178
AMJ,South,atl3,-0.04622926081827386
AMJ,South,tna,-0.01992621630862023
AMJ,South,tsa,-0.027228694393664477
AMJ,South,atl_grad,0.005973954080872104
AMJ,South,iod_dmi,0.10091948732849684
AMJ,South,wvg2,0.26882540296886115
AMJ,South,wvg3,0.27790935246059356
AMJ,Central,nino34,0.18703453456509456
AMJ,Central,atl3,0.025301243228902332
AMJ,Central,tna,0.15183476279052444
AMJ,Central,tsa,0.12918210000701758
AMJ,Central,atl_grad,0.025842092096286743
AMJ,Central,iod_dmi,0.11158975134118228
AMJ,Central,wvg2,0.20003537085682324
AMJ,Central,wvg3,0.21096154101655426
AMJ,North,nino34,0.03171789553736784
AMJ,North,atl3,0.02658345246454349
AMJ,North,tna,0.12151206833685439
AMJ,North,tsa,0.10841098594490482
AMJ,North,atl_grad,0.016098790803846394
AMJ,North,iod_dmi,0.17039319683791818
AMJ,North,wvg2,0.048209771095196995
AMJ,North,wvg3,0.04997844712966343
JJA,National,nino34,-0.19273859066188473
JJA,National,atl3,0.17923165437485278
JJA,National,tna,0.160101413784304
JJA,National,tsa,0.2263135345263256
JJA,National,atl_grad,-0.019564302107738876
JJA,National,iod_dmi,0.1244902102038671
JJA,National,wvg2,-0.23134490999760263
JJA,National,wvg3,-0.2227295275123259
JJA,South,nino34,0.003594354098523173
JJA,South,atl3,0.0799931261976817
JJA,South,tna,-0.045394167977815175
JJA,South,tsa,0.13534858038844366
JJA,South,atl_grad,-0.14097557912613018
JJA,South,iod_dmi,0.20209704378078588
JJA,South,wvg2,-0.005786095852774334
JJA,South,wvg3,0.001321011253387296
JJA,Central,nino34,-0.09402151754256947
JJA,Central,atl3,0.10324257890254922
JJA,Central,tna,0.13015936799160854
JJA,Central,tsa,0.13972268017806636
JJA,Central,atl_grad,0.016603025815191918
JJA,Central,iod_dmi,0.08113025827343157
JJA,Central,wvg2,-0.11096350761155711
JJA,Central,wvg3,-0.10707119107322291
JJA,North,nino34,-0.3054795563864376
JJA,North,atl3,0.22023069586854233
JJA,North,tna,0.2495481401810499
JJA,North,tsa,0.25003742743955276
JJA,North,atl_grad,0.04493807865668037
JJA,North,iod_dmi,0.0519306534207941
JJA,North,wvg2,-0.3612547448011397
JJA,North,wvg3,-0.35213631924027694
JAS,National,nino34,-0.4229317610327062
JAS,National,atl3,0.23514874764604457
JAS,National,tna,0.2674136977295242
JAS,National,tsa,0.30518753522697495
JAS,National,atl_grad,0.01844275572257724
JAS,National,iod_dmi,0.09709267381546212
JAS,National,wvg2,-0.47816283999974324
JAS,National,wvg3,-0.47922762008270814
JAS,South,nino34,-0.26724310865920725
JAS,South,atl3,0.02474470311277719
JAS,South,tna,0.17204230998462408
JAS,South,tsa,0.11992790573061268
JAS,South,atl_grad,0.0667065343906545
JAS,South,iod_dmi,0.16533570704805992
JAS,South,wvg2,-0.31488779709945275
JAS,South,wvg3,-0.31421123701635945
JAS,Central,nino34,-0.21591393734471873
JAS,Central,atl3,0.15099049391801067
JAS,Central,tna,0.28755956650982334
JAS,Central,tsa,0.23424301297131023
JAS,Central,atl_grad,0.08724665479607939
JAS,Central,iod_dmi,0.18808330489890335
JAS,Central,wvg2,-0.27634708971939315
JAS,Central,wvg3,-0.2753057633575291
JAS,North,nino34,-0.48666450627678276
JAS,North,atl3,0.32051881875132127
JAS,North,tna,0.21039510427329805
JAS,North,tsa,0.34246335974823305
JAS,North,atl_grad,-0.05894151060673389
JAS,North,iod_dmi,-0.034314835380527584
JAS,North,wvg2,-0.5226613277332487
JAS,North,wvg3,-0.5256471185065871
JJAS,National,nino34,-0.1883400553287883
JJAS,National,atl3,0.23493628780364634
JJAS,National,tna,0.23394595364632953
JJAS,National,tsa,0.2860747496660551
JJAS,National,atl_grad,0.004182447584721209
JJAS,National,iod_dmi,0.146100919227174
JJAS,National,wvg2,-0.26137591376706965
JJAS,National,wvg3,-0.2536240011004646
JJAS,South,nino34,-0.09042224294568943
JJAS,South,atl3,0.09203406308557398
JJAS,South,tna,0.07604362678149644
JJAS,South,tsa,0.1514959321244712
JJAS,South,atl_grad,-0.04160818155109974
JJAS,South,iod_dmi,0.16704569426437488
JJAS,South,wvg2,-0.12474491588139783
JJAS,South,wvg3,-0.11706280613103157
JJAS,Central,nino34,-0.08452685643683383
JJAS,Central,atl3,0.1771236513612078
JJAS,Central,tna,0.2537364362852282
JJAS,Central,tsa,0.22701664419090423
JJAS,Central,atl_grad,0.06568041441109915
JJAS,Central,iod_dmi,0.15018407614237625
JJAS,Central,wvg2,-0.14888784309471353
JJAS,Central,wvg3,-0.1468744478234978
JJAS,North,nino34,-0.2510958694486728
JJAS,North,atl3,0.2793086084602958
JJAS,North,tna,0.2370990682587873
JJAS,North,tsa,0.3068630610191627
JJAS,North,atl_grad,-0.008196324930339014
JJAS,North,iod_dmi,0.07551349872835748
