target,lead,best_realizable,ceiling,realizable_accuracy
Kenya:MAM,0,0.3581,0.1704,0.356
Kenya:MAM,1,0.2675,0.0187,0.3465
Kenya:MAM,2,0.2887,0.0064,0.3482
Kenya:MAM,3,0.2268,0.1191,0.3424
Kenya:MAM,4,0.0458,0.1069,0.3326
Kenya:OND,0,0.6602,0.422,0.541
Kenya:OND,1,0.6219,0.4035,0.5617
Kenya:OND,2,0.598,0.483,0.5342
Kenya:OND,3,0.5204,0.4306,0.5234
Kenya:OND,4,0.5393,0.3767,0.5056
Somalia:MAM,0,0.2951,-0.0385,0.3568
Somalia:MAM,1,0.2403,0.0051,0.3573
Somalia:MAM,2,0.2516,-0.0405,0.3556
Somalia:MAM,3,0.324,0.0883,0.3474
Somalia:MAM,4,0.0739,0.1404,0.3454
Somalia:SON,0,0.6409,0.4741,0.4718
Somalia:SON,1,0.6216,0.3773,0.4947
Somalia:SON,2,0.5543,0.2432,0.4797
Somalia:SON,3,0.5332,0.2938,0.4705
Somalia:SON,4,0.4596,0.2156,0.4838
