target,predictor_source,method,lead,transform,predictor_domain,eof_modes,downscale,generalized_roc,rpss,pearson_r,hit_rate
Kenya:MAM,obs_sst_field,cca,0,std_anom,indo_pacific,4,none,0.5216,-0.0494,0.0228,0.3454
Kenya:MAM,gcm_mos_sst,cca,0,std_anom,indo_pacific,4,none,0.493,-0.0825,-0.0595,0.3223
Kenya:MAM,obs_sst_field,cca,0,std_anom,indo_pacific,8,none,0.4911,-0.0989,-0.0444,0.3183
Kenya:MAM,gcm_mos_sst,cca,0,std_anom,indo_pacific,8,none,0.4897,-0.1122,-0.0738,0.3108
Kenya:MAM,obs_sst_field,cca,0,std_anom,indian,4,none,0.5379,-0.0471,0.1093,0.3683
Kenya:MAM,gcm_mos_sst,cca,0,std_anom,indian,4,none,0.4826,-0.0877,-0.0595,0.3036
Kenya:MAM,obs_sst_field,cca,0,std_anom,indian,8,none,0.5166,-0.0905,0.0498,0.3438
Kenya:MAM,gcm_mos_sst,cca,0,std_anom,indian,8,none,0.5025,-0.0802,-0.021,0.3178
Kenya:MAM,obs_sst_field,cca,0,std_anom,pacific,4,none,0.5237,-0.0562,0.018,0.3544
Kenya:MAM,gcm_mos_sst,cca,0,std_anom,pacific,4,none,0.5493,-0.0138,0.1002,0.3795
Kenya:MAM,obs_sst_field,cca,0,std_anom,pacific,8,none,0.5166,-0.0765,0.0112,0.3432
Kenya:MAM,gcm_mos_sst,cca,0,std_anom,pacific,8,none,0.5211,-0.0657,0.0123,0.348
Kenya:MAM,gcm_mos_precip,cca,0,std_anom,region,4,none,0.5471,-0.0087,0.1284,0.3667
Kenya:MAM,gcm_mos_precip,cca,0,std_anom,region,8,none,0.5472,-0.0081,0.1284,0.3688
Kenya:MAM,gcm_mos_precip,qm,0,std_anom,region,0,none,0.6404,0.0751,0.3581,0.356
Kenya:MAM,obs_index,regression,0,std_anom,nino34,0,none,0.5343,-0.0052,0.1493,0.3551
Kenya:MAM,gcm_index,regression,0,std_anom,nino34,0,none,0.532,-0.0067,0.1293,0.3515
Kenya:MAM,obs_index,regression,0,std_anom,iod,0,none,0.4093,-0.0972,-0.3175,0.2301
Kenya:MAM,gcm_index,regression,0,std_anom,iod,0,none,0.4643,-0.0572,-0.052,0.2713
Kenya:MAM,obs_index,regression,0,std_anom,wpg,0,none,0.5219,-0.0431,0.0302,0.3456
